-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2025 in UTC
Location: Latitude  26.9124   Longitude 75.7873 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 405.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_UV_INDEX,2011,0.94,1.25,1.82,2.07,2.57,2.05,1.91,1.99,1.78,1.54,1.04,0.76,1.65
ALLSKY_SFC_UV_INDEX,2012,0.84,1.31,1.8,2.13,2.32,2.31,1.99,1.55,1.78,1.5,0.91,0.84,1.61
ALLSKY_SFC_UV_INDEX,2013,0.92,1.3,1.97,2.17,2.5,2.19,1.88,1.71,1.88,1.45,0.91,0.71,1.63
ALLSKY_SFC_UV_INDEX,2014,0.7,1.11,1.78,2.23,2.45,2.45,2.1,1.9,1.88,1.42,1.0,0.75,1.65
ALLSKY_SFC_UV_INDEX,2015,0.76,1.21,1.53,2.03,2.32,2.17,1.84,1.8,1.94,1.47,0.9,0.77,1.56
ALLSKY_SFC_UV_INDEX,2016,0.84,1.26,1.81,2.33,2.47,2.31,1.83,1.74,1.99,1.53,1.07,0.95,1.68
ALLSKY_SFC_UV_INDEX,2017,0.8,1.47,1.93,2.34,2.39,2.39,2.09,1.86,1.87,1.53,0.85,0.75,1.69
ALLSKY_SFC_UV_INDEX,2018,0.88,1.18,1.74,2.19,2.36,2.11,1.7,1.71,1.58,1.52,1.04,0.85,1.57
ALLSKY_SFC_UV_INDEX,2019,0.89,1.31,1.89,2.39,2.62,2.4,1.85,1.87,1.73,1.44,0.88,0.64,1.66
ALLSKY_SFC_UV_INDEX,2020,0.75,1.13,1.54,2.14,2.48,2.46,2.34,1.9,1.89,1.47,0.86,0.75,1.64
ALLSKY_SFC_UV_INDEX,2021,0.82,1.22,1.75,2.16,2.17,2.32,1.85,1.93,1.67,1.51,0.9,0.65,1.58
ALLSKY_SFC_UV_INDEX,2022,0.78,1.21,1.73,2.09,2.22,2.09,1.92,1.74,1.83,1.46,1.03,0.86,1.58
ALLSKY_SFC_UV_INDEX,2023,0.81,1.44,1.58,2.07,2.33,2.19,1.93,1.76,1.76,1.44,0.72,0.63,1.55
ALLSKY_SFC_UV_INDEX,2024,0.69,1.13,1.75,1.87,2.23,2.06,1.79,1.48,1.64,1.43,0.92,0.66,1.47
ALLSKY_SFC_UV_INDEX,2025,0.79,1.2,1.79,2.09,2.07,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SRF_ALB,2011,0.17,0.17,0.19,0.19,0.2,0.19,0.17,0.18,0.16,0.17,0.17,0.19,0.18
