student_id,state,category,gender,quota,12th_percentage,entrance_score,effective_score,extracurriculars,preferences_count,assigned_college,admission_chance
S0001,Karnataka,GEN,Male,None,80.96,207,207,2,4,State Tech University,0.627
S0002,Karnataka,OBC,Male,None,78.35,228,228,1,6,NIT Example,0.653
S0003,Maharashtra,OBC,Female,None,68.03,163,163,1,9,Regional Engineering College,0.497
S0004,Uttar Pradesh,GEN,Male,NRI,43.65,137,97,2,5,Community College,0.477
S0005,Rajasthan,GEN,Male,TFW,64.1,131,131,2,8,Local Government College,0.482
S0006,Karnataka,GEN,Male,None,99.0,267,267,0,7,IIT Example,0.8
S0007,Maharashtra,SC,Female,Defence,61.19,168,178,0,9,State Tech University,0.495
S0008,Karnataka,OBC,Female,None,67.8,199,199,0,8,State Tech University,0.591
S0009,Uttar Pradesh,OBC,Male,None,67.78,222,222,0,7,NIT Example,0.625
S0010,Karnataka,SC,Female,None,68.6,178,178,3,10,State Tech University,0.495
S0011,Gujarat,GEN,Male,None,99.0,287,287,3,4,IIT Example,0.891
S0012,Tamil Nadu,OBC,Male,None,77.62,223,223,1,7,NIT Example,0.63
S0013,Uttar Pradesh,OBC,Female,None,62.89,123,123,2,6,Local Government College,0.445
S0014,Maharashtra,SC,Male,None,79.12,161,161,1,8,State Tech University,0.418
S0015,Uttar Pradesh,OBC,Male,TFW,66.88,189,189,0,10,State Tech University,0.545
S0016,Tamil Nadu,GEN,Male,None,81.99,235,235,2,7,NIT Example,0.685
S0017,Rajasthan,ST,Male,None,64.93,161,161,3,5,State Tech University,0.418
S0018,Haryana,GEN,Male,None,61.72,130,130,4,5,Local Government College,0.477
S0019,Rajasthan,OBC,Male,None,86.68,245,245,3,10,NIT Example,0.73
S0020,Delhi,EWS,Female,None,70.22,181,181,0,4,State Tech University,0.509
S0021,Delhi,SC,Male,None,76.04,190,190,3,5,State Tech University,0.55
S0022,Haryana,GEN,Female,None,92.73,228,228,1,5,NIT Example,0.653
S0023,Karnataka,ST,Male,None,65.3,157,157,5,6,State Tech University,0.4
S0024,Tamil Nadu,GEN,Male,TFW,76.16,222,222,3,3,NIT Example,0.625
S0025,Gujarat,OBC,Male,None,70.29,146,146,2,7,Regional Engineering College,0.42
S0026,Uttar Pradesh,GEN,Female,TFW,43.14,120,120,1,4,Local Government College,0.432
S0027,Haryana,SC,Female,None,80.44,204,204,2,5,NIT Example,0.544
S0028,Tamil Nadu,OBC,Female,None,78.09,201,201,2,9,State Tech University,0.6
S0029,Uttar Pradesh,ST,Female,None,62.13,136,136,0,7,Regional Engineering College,0.375
S0030,Rajasthan,EWS,Female,None,75.72,258,258,0,10,IIT Example,0.759
S0031,Karnataka,GEN,Male,None,80.73,203,203,1,6,State Tech University,0.609
S0032,Uttar Pradesh,GEN,Female,None,79.08,205,205,2,4,State Tech University,0.618
S0033,Maharashtra,SC,Male,None,84.49,196,196,3,10,State Tech University,0.577
S0034,Uttar Pradesh,OBC,Female,NRI,63.11,149,109,0,10,Community College,0.532
S0035,Uttar Pradesh,SC,Female,None,95.48,270,270,0,4,IIT Example,0.814
S0036,Rajasthan,GEN,Male,NRI,56.39,148,108,1,3,Community College,0.527
S0037,Karnataka,GEN,Female,None,63.97,205,205,1,4,State Tech University,0.618
S0038,Uttar Pradesh,GEN,Female,None,65.6,162,162,4,5,Regional Engineering College,0.493
S0039,Delhi,OBC,Female,None,91.37,300,300,1,4,IIT Example,0.95
S0040,Maharashtra,OBC,Female,None,57.72,179,179,5,4,State Tech University,0.5
S0041,Uttar Pradesh,GEN,Female,None,77.72,223,223,0,9,NIT Example,0.63
S0042,Maharashtra,GEN,Male,None,78.52,186,186,0,10,State Tech University,0.532
S0043,Delhi,GEN,Female,Defence,77.1,170,180,2,10,State Tech University,0.505
S0044,Tamil Nadu,GEN,Male,None,63.3,184,184,3,3,State Tech University,0.523
S0045,Gujarat,GEN,Female,None,84.86,268,268,0,5,IIT Example,0.805
S0046,Maharashtra,EWS,Male,None,58.56,132,132,2,4,Local Government College,0.486
S0047,Uttar Pradesh,GEN,Female,None,78.32,224,224,3,3,NIT Example,0.635
S0048,Karnataka,GEN,Female,None,82.51,193,193,1,7,State Tech University,0.564
S0049,Uttar Pradesh,OBC,Male,None,62.15,173,173,4,5,State Tech University,0.473
S0050,Delhi,OBC,Female,TFW,73.51,209,209,4,3,State Tech University,0.636
S0051,Haryana,OBC,Female,None,69.64,202,202,1,6,State Tech University,0.605
S0052,Delhi,GEN,Male,None,77.08,210,210,1,6,State Tech University,0.641
S0053,Gujarat,GEN,Male,None,75.7,168,168,4,7,Regional Engineering College,0.52
S0054,Maharashtra,OBC,Female,TFW,85.86,208,208,5,4,State Tech University,0.632
S0055,Tamil Nadu,GEN,Female,None,90.97,261,261,3,5,IIT Example,0.773
S0056,Delhi,GEN,Male,None,76.98,178,178,0,7,Regional Engineering College,0.565
S0057,Haryana,GEN,Female,None,99.0,210,210,2,9,State Tech University,0.641
S0058,Delhi,GEN,Male,None,64.28,158,158,2,7,Regional Engineering College,0.475
S0059,Tamil Nadu,SC,Female,None,66.24,177,177,0,3,State Tech University,0.491
S0060,Karnataka,GEN,Female,TFW,99.0,300,300,4,3,IIT Example,0.95
S0061,Gujarat,OBC,Male,None,67.06,195,195,1,7,State Tech University,0.573
S0062,Gujarat,ST,Female,NRI,81.06,232,192,1,8,State Tech University,0.559
S0063,Uttar Pradesh,OBC,Female,None,69.3,163,163,3,9,Regional Engineering College,0.497
S0064,Tamil Nadu,ST,Male,None,99.0,283,283,1,5,IIT Example,0.873
S0065,Rajasthan,GEN,Female,None,90.2,216,216,0,9,State Tech University,0.668
S0066,Uttar Pradesh,GEN,Female,None,72.15,234,234,0,3,NIT Example,0.68
S0067,Haryana,GEN,Female,None,36.1,68,68,1,7,No Seat / Private Coaching,0.01
S0068,Uttar Pradesh,GEN,Female,None,94.59,210,210,1,7,State Tech University,0.641
S0069,Karnataka,EWS,Male,None,92.3,204,204,3,9,State Tech University,0.614
S0070,Gujarat,ST,Male,Defence,77.39,186,196,0,5,NIT Example,0.507
